,datetime,is_fast_wind,CME
0,2019-02-06 03:48:48,0,False
1,2020-01-27 02:30:16,0,False
2,2016-08-27 03:44:55,0,False
3,2020-04-20 03:45:40,0,False
4,2016-07-06 01:30:06,1,False
5,2019-06-29 05:30:45,0,False
6,2017-10-27 03:37:22,0,False
7,2014-06-15 06:23:14,0,False
8,2017-12-28 04:39:43,0,False
9,2015-04-21 01:30:36,0,False
10,2014-02-01 05:39:14,0,False
11,2016-03-21 08:14:11,0,False
12,2013-07-03 03:30:29,0,False
13,2018-12-04 08:53:20,0,False
14,2016-01-23 03:36:32,0,False
15,2013-05-27 10:11:04,0,False
16,2017-05-21 06:53:22,0,False
17,2019-05-07 05:27:37,0,True
18,2014-09-23 03:30:42,0,False
19,2014-01-25 05:05:14,0,False
20,2019-06-20 05:21:44,0,False
21,2014-02-14 05:40:25,0,False
22,2014-09-06 06:53:40,0,False
23,2020-02-13 06:56:22,0,False
24,2018-11-04 09:20:06,0,False
25,2018-02-17 08:49:18,0,False
26,2020-03-16 04:54:50,0,False
27,2018-11-23 07:35:55,0,False
28,2014-10-19 07:00:11,0,False
29,2014-05-23 06:41:19,0,False
30,2018-10-11 18:03:46,1,False
31,2013-10-15 03:30:25,0,False
32,2014-10-06 07:01:17,0,False
33,2014-10-21 04:02:34,0,False
34,2013-07-30 03:30:24,0,False
35,2014-04-14 04:35:54,0,False
36,2015-03-29 02:33:59,0,False
37,2017-11-18 06:55:21,1,False
38,2017-10-05 05:40:59,0,False
39,2018-05-09 04:03:30,0,False
40,2014-12-23 04:44:40,0,False
41,2019-11-05 03:46:46,0,False
42,2016-10-24 05:09:34,1,False
43,2015-06-23 04:45:18,0,True
44,2019-10-25 02:45:45,0,False
45,2020-03-15 07:00:24,0,False
46,2020-01-22 07:17:41,0,False
47,2016-11-16 09:51:48,0,False
48,2017-08-18 02:32:55,1,False
49,2019-02-18 10:10:31,0,False
50,2018-01-14 07:13:18,0,False
51,2013-08-07 10:47:09,0,False
52,2020-05-10 08:06:27,0,False
53,2014-12-30 03:30:24,0,False
54,2018-09-21 23:10:07,0,False
55,2014-07-08 04:05:28,0,False
56,2013-12-13 04:30:25,0,False
57,2016-11-18 10:07:32,0,False
58,2013-11-09 07:12:11,0,False
59,2012-12-19 07:03:59,0,False
60,2018-04-03 06:11:17,0,False
61,2018-08-01 02:47:36,0,False
62,2016-11-24 06:16:21,1,False
63,2017-05-03 04:40:36,0,False
64,2019-10-25 01:30:04,0,False
65,2016-09-09 01:30:07,0,False
66,2015-12-27 04:40:43,0,False
67,2013-09-22 04:54:04,0,False
68,2014-02-04 07:57:38,0,True
69,2014-03-10 04:03:01,0,False
70,2019-10-01 07:46:24,0,False
71,2019-08-12 08:01:40,0,False
72,2015-09-29 03:39:32,0,False
73,2019-06-05 04:12:50,0,False
74,2013-09-20 06:18:03,0,False
75,2016-05-20 03:46:51,0,False
76,2019-01-03 06:39:42,0,False
77,2014-11-20 02:30:32,0,False
78,2013-05-16 07:29:22,0,False
79,2018-07-26 04:04:35,0,False
80,2015-01-04 06:21:43,0,False
81,2017-07-27 04:39:18,,False
82,2017-08-06 02:32:16,0,False
83,2014-07-24 06:51:09,0,False
84,2017-03-31 04:43:07,0,True
85,2014-09-05 06:16:06,0,False
86,2015-01-19 05:18:12,0,False
87,2013-11-19 05:02:48,0,False
88,2016-07-10 01:30:03,1,False
89,2015-06-25 00:31:41,0,False
90,2020-02-24 04:49:20,0,False
91,2012-12-18 08:19:34,0,False
92,2016-12-06 03:36:02,1,False
93,2013-05-26 07:19:31,0,False
94,2014-09-20 03:32:20,0,False
95,2017-03-03 04:39:35,1,False
